7 0 1 1,1365 9,09083 20 65,0469 60038 3785 1500 false
7 1 2 1,30497 10,4399 2 77,7734 61401 4849 1500 false
7 2 3 1,55354 12,4287 0 91,9141 58281 4652 1500 false
7 3 4 1,73996 13,9192 0 104,641 57277 6653 1500 false
7 4 5 1,98853 15,9078 6 115,953 55735 2530 1500 false
7 5 6 2,17495 17,3999 15 124,438 56235 4414 1500 false
7 6 7 2,36137 18,8907 7 135,75 57003 6360 1500 false
7 7 8 2,79636 22,372 0 149,891 56952 5471 1500 false
7 8 9 2,79636 22,3709 0 164,031 60449 3699 1500 false
7 9 10 3,16921 25,3538 0 178,172 60151 5537 1500 false
7 10 11 2,98279 23,8609 12 86,2578 61473 6010 1500 false
7 11 12 1,11855 8,94774 4 73,5312 61588 5232 1500 false
7 12 13 1,61568 12,927 2 86,2578 63022 5990 1500 false
7 13 14 1,67782 13,4227 0 100,398 59414 5162 1500 false
7 14 15 1,73996 13,9194 0 114,539 60213 5715 1500 false
7 15 16 1,86424 14,9129 0 127,266 61323 4615 1500 false
7 16 17 2,42352 19,3886 0 141,406 62539 7099 1500 false
7 17 18 2,85851 22,8695 0 172,516 62641 5389 1500 false
7 18 19 3,6042 28,833 0 234,734 60857 7142 1500 false
7 19 20 4,47418 35,7928 3 261,602 56104 4251 1500 false
7 20 21 5,15774 41,2638 3 274,328 59516 3288 1500 false
7 21 22 4,72275 37,7813 0 287,055 61229 4094 1500 false
7 22 23 5,65487 45,2396 0 301,195 59902 3359 1500 false
7 23 24 4,97131 39,7695 0 313,922 63748 4138 1500 false
7 24 25 5,71701 45,7374 0 328,062 64818 3683 1500 false
7 25 26 5,65487 45,239 0 345,031 65699 6103 1500 false
7 26 27 5,4063 43,2483 0 395,938 71019 5002 1500 false
7 27 28 6,21414 49,7125 0 466,641 79980 3679 1500 false
7 28 29 5,03345 40,2678 53 253,117 61729 4222 1500 false
7 29 30 4,84703 38,7784 0 272,914 57673 4614 1500 false
7 30 31 4,90917 39,2733 0 281,398 59684 5723 1500 false
7 31 32 4,72275 37,7807 4 199,383 58762 3920 1500 false
7 32 33 3,85277 30,822 0 240,391 58821 7227 1500 false
7 33 34 3,16921 25,3498 20 188,07 58856 5220 1500 false
7 34 35 3,79063 30,3283 0 203,625 58058 4547 1500 false
7 35 36 3,85277 30,8239 0 210,695 57402 10342 1500 false
7 36 37 3,97705 31,8166 0 220,594 56422 4925 1500 false
7 37 38 3,79063 30,3252 0 234,734 60033 4481 1500 false
7 38 39 3,91491 31,3163 0 248,875 62720 5509 1500 false
7 39 40 2,85851 22,8698 34 132,922 61653 5149 1500 false
7 40 41 1,92638 15,4102 2 106,055 57820 3676 1500 false
7 41 42 1,92638 15,4089 0 117,367 62589 4950 1500 false
7 42 43 1,92638 15,4115 2 100,398 60926 5809 1500 false
7 43 44 1,92638 15,4118 8 77,7734 62194 3682 1500 false
7 44 45 0,994263 7,9514 0 90,5 61039 5358 1500 false
7 45 46 1,86424 14,9171 0 103,227 59022 3713 1500 false
7 46 47 1,98853 15,9085 0 117,367 60332 4720 1500 false
7 47 48 1,98853 15,9072 0 131,508 62411 4274 1500 false
7 48 49 2,92065 23,3706 0 145,648 60400 6644 1500 false
7 49 50 2,92065 23,3672 0 158,375 60692 5093 1500 false
7 50 51 2,92065 23,3653 0 172,516 60552 5289 1500 false
7 51 52 2,98279 23,8613 0 185,242 55947 4359 1500 false
7 52 53 2,79636 22,3675 0 209,281 56970 3486 1500 false
7 53 54 5,03345 40,2755 0 277,156 62455 7222 1500 false
7 54 55 4,78489 38,2761 0 369,07 65601 4179 1500 false
7 55 56 5,84129 46,7317 12 326,648 58122 3528 1500 false
7 56 57 6,02772 48,2242 0 380,383 68251 4227 1500 false
7 57 58 5,90343 47,2277 0 417,148 73881 5483 1500 false
7 58 59 5,0956 40,7645 22 316,75 61844 6469 1500 false
7 59 60 4,97131 39,7665 4 236,148 65479 5122 1500 false
